dataset,homogeneity_delta_mean,intervention_effect_ci_high,intervention_effect_ci_low,intervention_effect_mean,mixed_count,mixed_mean_family_diversity,model,paired_question_count,same_count,same_mean_family_diversity,subject
mmlu,0.28507882188123346,-0.018879490773919594,-0.15052260216793723,-0.0808627007297204,4,0.454202465868349,gemini-2.5-flash-lite,4,4,0.5350651665980695,high_school_physics
mmlu,-0.20285668962520775,0.18747090528721397,-0.12059892112707535,0.03995590346159232,4,0.5838477319514588,gpt-4o-mini,4,4,0.5438918284898665,high_school_physics
mmlu,-0.11136554579662661,0.19932721771946393,-0.080409566530385,0.059458825594539466,4,0.7331087062123883,qwen2.5-7b-instruct,4,4,0.6736498806178488,high_school_physics
mmlu,-0.19750078289710538,0.5069091672837025,-0.03169877819020128,0.15020355931122895,3,0.5789098804874062,deepseek-chat,3,3,0.42870632117617724,high_school_psychology
mmlu,-0.02012796450800632,0.17396081339415959,-0.03252555925553802,0.05534998004893521,3,0.6140046791337982,gemini-2.5-flash-lite,3,3,0.558654699084863,high_school_psychology
mmlu,-0.41083789442539187,0.33870018939772856,0.16948885270805011,0.2663899509990691,3,0.5469203809724835,gpt-4o-mini,3,3,0.28053042997341454,high_school_psychology
mmlu,-0.15161758026246772,0.29165540615890684,-0.041905059876744755,0.07351307168608123,3,0.6203554286339851,qwen2.5-7b-instruct,3,3,0.5468423569479038,high_school_psychology
mmlu,0.05235209008490525,0.0,-0.16325949900566794,-0.08162974950283397,2,0.5004503808668359,deepseek-chat,2,2,0.5820801303696699,high_school_statistics
mmlu,0.0486759232585974,-0.04312530992308522,-0.1206724530876696,-0.08189888150537741,2,0.5210508474552679,gemini-2.5-flash-lite,2,2,0.6029497289606452,high_school_statistics
mmlu,-0.07014130568038088,0.035352781240001185,-0.09735337493509594,-0.031000296847547376,2,0.5157707779458531,gpt-4o-mini,2,2,0.5467710747934005,high_school_statistics
mmlu,-0.05435142792870265,0.2279957294335404,0.015139434172572797,0.1215675818030566,2,0.6958780618983851,qwen2.5-7b-instruct,2,2,0.5743104800953285,high_school_statistics
mmlu,-0.06637127237341867,0.013816087892783213,0.004112590024501039,0.008964338958642126,2,0.602572354541403,deepseek-chat,2,2,0.593608015582761,high_school_world_history
mmlu,-0.09618398862092686,0.21625976101330058,0.07535809022045786,0.14580892561687922,2,0.588755949006379,gemini-2.5-flash-lite,2,2,0.44294702338949965,high_school_world_history
mmlu,0.1320675894948472,0.0,-0.12958010012149163,-0.06479005006074581,2,0.5366253006100936,gpt-4o-mini,2,2,0.6014153506708394,high_school_world_history
mmlu,-0.0958034453701497,-0.009649867346860241,-0.046795796271035806,-0.028222831808948023,2,0.6910785622149733,qwen2.5-7b-instruct,2,2,0.7193013940239212,high_school_world_history
mmlu,-0.39259361726778164,0.4023803736952865,0.4023803736952865,0.4023803736952865,1,0.607230919052639,deepseek-chat,1,1,0.20485054535735253,human_aging
mmlu,-0.24283433372187924,0.2234678060709871,0.2234678060709871,0.2234678060709871,1,0.48814823871466917,gemini-2.5-flash-lite,1,1,0.2646804326436821,human_aging
mmlu,0.0,0.07535809022045786,0.07535809022045786,0.07535809022045786,1,0.34003852286413994,gpt-4o-mini,1,1,0.2646804326436821,human_aging
mmlu,-0.1722894689374742,0.012501968001077002,0.012501968001077002,0.012501968001077002,1,0.3247323926339564,qwen2.5-7b-instruct,1,1,0.3122304246328794,human_aging
mmlu,0.0,0.0,-0.07761782495424469,-0.03880891247712234,2,0.4547600988967776,deepseek-chat,2,2,0.49356901137389997,human_sexuality
mmlu,-0.12376792432145434,0.09278015384541405,0.0,0.046390076922707024,2,0.3779626907101265,gemini-2.5-flash-lite,2,2,0.3315726137874195,human_sexuality
mmlu,0.3295784606758195,-0.0487320310321695,-0.558199715753005,-0.30346587339258724,2,0.5191063998849574,gpt-4o-mini,2,2,0.8225722732775447,human_sexuality
mmlu,-0.0044607430915210855,0.019693227415401693,-0.05899593484448429,-0.019651353714541298,2,0.5540939380086696,qwen2.5-7b-instruct,2,2,0.5737452917232109,human_sexuality
mmlu,-0.16974513076661124,0.14296883475106814,0.0,0.07148441737553407,2,0.25851992643738375,deepseek-chat,2,2,0.18703550906184968,international_law
