seed,update_index,target_agent_id,candidate_index,candidate_hash,variant,geometry_type,constraint_passed,globally_accepted,repair_set_gain_count,repair_set_loss_count,r1_repair_count,orphan_repair_count,vote_conversion_on_repair_set,repair_distance_reduction_count,P1_loss_count,P2_loss_count,P3_loss_count,total_preservation_violation_count,fixed_pool_aligned,evidence_level
48,5,4,0,73773bb7371b0c5c1dbc13b394ff3716d671ee2f0860812ed5cc439d17dedd51,C3_COALITION_AWARE_PRESERVATION,F,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,5,4,1,ecc890359e5f7c601d91342f6ad9e0e55994d2da19b96f1f90328b3efbaeed7b,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,5,4,1,ecc890359e5f7c601d91342f6ad9e0e55994d2da19b96f1f90328b3efbaeed7b,C1_BOUNDARY_PROPAGATION,F,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,5,4,1,ecc890359e5f7c601d91342f6ad9e0e55994d2da19b96f1f90328b3efbaeed7b,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,5,4,1,ecc890359e5f7c601d91342f6ad9e0e55994d2da19b96f1f90328b3efbaeed7b,C3_COALITION_AWARE_PRESERVATION,F,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,4,0,39a3700c595931a6ef0b9966b61470be1964e231caed65ac89660bc1d314425b,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,4,0,39a3700c595931a6ef0b9966b61470be1964e231caed65ac89660bc1d314425b,C1_BOUNDARY_PROPAGATION,F,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,4,0,39a3700c595931a6ef0b9966b61470be1964e231caed65ac89660bc1d314425b,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,1,0,1,0,1,1,1,0,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,4,0,39a3700c595931a6ef0b9966b61470be1964e231caed65ac89660bc1d314425b,C3_COALITION_AWARE_PRESERVATION,F,False,False,1,0,1,0,1,1,1,0,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,1,0,5c657aacc8b5a235e39314906fd401e43910964c9d59a6f7b1d2b5b7d1bbad07,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,1,0,5c657aacc8b5a235e39314906fd401e43910964c9d59a6f7b1d2b5b7d1bbad07,C1_BOUNDARY_PROPAGATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,1,0,5c657aacc8b5a235e39314906fd401e43910964c9d59a6f7b1d2b5b7d1bbad07,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,1,0,5c657aacc8b5a235e39314906fd401e43910964c9d59a6f7b1d2b5b7d1bbad07,C3_COALITION_AWARE_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,1,1,69c79b090e018b5c644e5adbfa33edb2170237f6f1c02ec3ee5cb5aef01ad83a,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,1,1,69c79b090e018b5c644e5adbfa33edb2170237f6f1c02ec3ee5cb5aef01ad83a,C1_BOUNDARY_PROPAGATION,F,False,False,1,0,0,0,0,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,1,1,69c79b090e018b5c644e5adbfa33edb2170237f6f1c02ec3ee5cb5aef01ad83a,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,1,0,0,0,0,1,2,0,0,2,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,6,1,1,69c79b090e018b5c644e5adbfa33edb2170237f6f1c02ec3ee5cb5aef01ad83a,C3_COALITION_AWARE_PRESERVATION,F,False,False,1,0,0,0,0,1,2,0,0,2,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,8,4,0,c4f4fea07bd207fd155eafba2ebaf7a04f7a86160c68d4d57fb37a74d3d8c9b3,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,8,4,0,c4f4fea07bd207fd155eafba2ebaf7a04f7a86160c68d4d57fb37a74d3d8c9b3,C1_BOUNDARY_PROPAGATION,F,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
